Date,Open,High,Low,Close,volume
2000-04-25,4.940,5.010,4.940,5.000,0
2000-04-26,5.000,5.000,4.940,4.940,0
2000-04-27,4.940,4.990,4.940,4.950,0
2000-04-28,4.960,4.990,4.960,4.970,0
2000-05-01,4.960,5.050,4.960,5.020,0
2000-05-02,5.020,5.040,5.020,5.030,0
2000-05-03,5.020,5.040,5.010,5.010,0
2000-05-04,5.020,5.120,5.020,5.100,0
2000-05-05,5.110,5.120,5.000,5.000,0
2000-05-08,5.000,5.040,5.000,5.010,0
2000-05-09,5.010,5.040,5.010,5.030,0
2000-05-10,5.030,5.040,5.030,5.040,0
2000-05-11,5.010,5.020,5.000,5.000,0
2000-05-12,5.000,5.040,5.000,5.000,0
2000-05-15,5.000,5.010,5.000,5.000,0
2000-05-16,5.000,5.130,5.000,5.090,0
2000-05-17,5.080,5.090,4.980,4.980,0
2000-05-18,4.980,5.000,4.980,5.000,0
2000-05-19,4.980,5.000,4.980,5.000,0
2000-05-22,4.970,4.990,4.970,4.970,0
2000-05-23,5.000,5.000,5.000,5.000,0
2000-05-24,5.000,5.000,4.990,4.990,0
2000-05-25,4.970,4.990,4.910,4.910,0
2000-05-26,4.910,4.940,4.910,4.920,0
2000-05-29,4.930,4.950,4.930,4.930,0
2000-05-30,4.930,4.940,4.930,4.930,0
2000-05-31,4.900,4.960,4.900,4.920,0
2000-06-01,4.930,4.930,4.890,4.890,0
2000-06-02,4.910,4.930,4.910,4.930,0
2000-06-05,5.000,5.060,5.000,5.030,0
2000-06-06,5.020,5.090,5.020,5.080,0
2000-06-07,5.070,5.100,5.070,5.070,0
2000-06-08,5.070,5.110,5.060,5.060,0
2000-06-09,5.060,5.080,5.030,5.030,0
2000-06-12,5.020,5.030,5.010,5.010,0
2000-06-13,5.010,5.110,5.000,5.000,0
2000-06-14,5.000,5.080,5.000,5.060,0
2000-06-15,5.060,5.070,5.060,5.070,0
2000-06-16,5.050,5.080,5.050,5.050,0
2000-06-19,5.060,5.060,5.020,5.020,0
2000-06-20,5.020,5.040,5.010,5.010,0
2000-06-21,5.020,5.030,4.960,4.960,0
2000-06-22,4.960,4.990,4.960,4.960,0
2000-06-23,4.960,4.980,4.960,4.960,0
2000-06-26,4.940,4.980,4.940,4.970,0
2000-06-27,4.970,4.970,4.960,4.960,0
2000-06-28,4.940,4.990,4.940,4.980,0
2000-06-29,4.970,5.050,4.970,5.000,0
2000-06-30,5.010,5.040,5.010,5.030,0
2000-07-03,5.020,5.020,5.000,5.000,0
2000-07-04,5.000,5.010,4.990,4.990,0
2000-07-05,4.990,5.010,4.980,4.980,0
2000-07-06,4.980,5.010,4.980,5.000,0
2000-07-07,4.990,5.000,4.970,4.970,0
2000-07-10,4.970,5.010,4.970,4.990,0
2000-07-11,4.990,4.990,4.960,4.960,0
2000-07-12,4.960,5.000,4.960,4.960,0
2000-07-13,4.960,4.990,4.960,4.970,0
2000-07-14,4.970,5.020,4.970,5.000,0
2000-07-17,5.000,5.030,5.000,5.010,0
2000-07-18,5.010,5.030,5.010,5.010,0
2000-07-19,5.010,5.010,4.970,4.970,0
2000-07-20,4.970,5.010,4.970,4.980,0
2000-07-21,4.990,5.000,4.920,4.920,0
2000-07-24,4.930,4.960,4.930,4.940,0
2000-07-25,4.950,4.950,4.920,4.920,0
2000-07-26,4.970,5.000,4.950,4.950,0
2000-07-27,4.950,4.990,4.950,4.960,0
2000-07-28,4.950,4.980,4.950,4.950,0
2000-07-31,4.960,5.000,4.960,4.990,0
2000-08-01,4.990,5.000,4.990,4.990,0
2000-08-02,4.980,4.980,4.980,4.980,0
2000-08-03,4.970,4.980,4.960,4.960,0
2000-08-04,4.970,4.980,4.920,4.920,0
2000-08-07,4.900,4.950,4.900,4.930,0
2000-08-08,4.920,4.960,4.900,4.900,0
2000-08-09,4.900,4.910,4.880,4.880,0
2000-08-10,4.890,4.910,4.890,4.890,0
2000-08-11,4.890,4.940,4.890,4.920,0
2000-08-14,4.910,4.920,4.870,4.870,0
2000-08-15,4.870,4.910,4.860,4.860,0
2000-08-16,4.860,4.870,4.850,4.850,0
2000-08-17,4.860,4.880,4.860,4.860,0
2000-08-18,4.870,4.870,4.840,4.840,0
2000-08-21,4.830,4.850,4.830,4.850,0
2000-08-22,4.850,4.850,4.830,4.830,0
2000-08-23,4.830,4.840,4.780,4.780,0
2000-08-24,4.790,4.840,4.790,4.840,0
2000-08-25,4.840,4.870,4.840,4.870,0
2000-08-28,4.880,4.920,4.880,4.920,0
2000-08-29,4.910,4.930,4.910,4.930,0
2000-08-30,4.880,4.930,4.880,4.910,0
2000-08-31,4.910,4.970,4.910,4.970,0
2000-09-01,4.940,4.970,4.940,4.960,0
2000-09-04,4.950,4.960,4.950,4.960,0
2000-09-05,4.950,4.960,4.950,4.950,0
2000-09-06,4.960,4.960,4.930,4.930,0
2000-09-07,4.950,4.950,4.910,4.910,0
2000-09-08,4.910,4.920,4.900,4.900,0
2000-09-11,4.890,4.900,4.870,4.870,0
2000-09-12,4.870,4.910,4.870,4.880,0
2000-09-13,4.880,4.890,4.870,4.870,0
2000-09-14,4.870,4.900,4.870,4.880,0
2000-09-15,4.870,4.880,4.860,4.860,0
2000-09-18,4.850,4.880,4.850,4.860,0
2000-09-19,4.870,4.880,4.870,4.870,0
2000-09-20,4.860,4.870,4.830,4.830,0
2000-09-21,4.830,4.870,4.830,4.870,0
2000-09-22,4.850,4.940,4.850,4.890,0
2000-09-25,4.910,4.910,4.900,4.900,0
2000-09-26,4.890,4.920,4.890,4.910,0
2000-09-27,4.900,4.960,4.900,4.940,0
2000-09-28,4.940,4.940,4.930,4.930,0
