Date,Open,High,Low,Close,volume
2000-04-25,279.800,280.650,277.800,278.400,0
2000-04-26,278.200,278.550,274.950,275.880,0
2000-04-27,275.900,277.600,275.300,277.050,0
2000-04-28,277.100,277.250,272.750,273.550,0
2000-05-01,275.250,275.250,272.200,273.350,0
2000-05-02,273.800,276.400,273.250,274.950,0
2000-05-03,275.750,278.380,275.400,278.250,0
2000-05-04,278.250,282.600,276.500,279.950,0
2000-05-05,280.450,282.600,277.400,278.950,0
2000-05-08,278.950,278.950,276.200,276.730,0
2000-05-09,276.550,277.750,275.500,277.250,0
2000-05-10,277.250,279.050,276.400,277.750,0
2000-05-11,277.650,278.250,275.450,275.950,0
2000-05-12,276.000,277.300,275.700,276.150,0
2000-05-15,276.500,277.000,273.900,275.450,0
2000-05-16,275.500,277.400,274.980,275.650,0
2000-05-17,275.500,275.600,272.000,273.350,0
2000-05-18,273.630,274.250,272.250,273.350,0
2000-05-19,273.400,274.700,272.450,274.250,0
2000-05-22,274.100,276.900,273.600,275.650,0
2000-05-23,275.800,277.000,273.650,274.250,0
2000-05-24,273.900,274.450,272.650,273.550,0
2000-05-25,273.500,274.700,269.450,270.300,0
2000-05-26,270.300,273.200,270.050,272.250,0
2000-05-29,272.700,273.800,272.150,272.150,0
2000-05-30,272.100,274.800,272.100,273.200,0
2000-05-31,273.100,273.300,271.800,272.100,0
2000-06-01,272.200,273.950,271.900,272.800,0
2000-06-02,272.900,282.950,272.550,281.150,0
2000-06-05,281.050,286.250,279.050,285.450,0
2000-06-06,285.450,291.150,283.800,289.000,0
2000-06-07,289.500,289.500,284.300,286.700,0
2000-06-08,287.400,288.200,283.750,284.450,0
2000-06-09,284.450,286.800,283.500,283.850,0
2000-06-12,283.900,286.900,283.250,286.800,0
2000-06-13,286.500,294.050,284.650,285.750,0
2000-06-14,285.800,292.000,285.350,291.750,0
2000-06-15,291.750,293.250,286.550,289.850,0
2000-06-16,289.550,292.000,288.450,289.250,0
2000-06-19,289.150,289.150,285.450,286.250,0
2000-06-20,286.150,287.600,285.400,286.150,0
2000-06-21,286.250,287.580,285.850,286.150,0
2000-06-22,286.150,289.450,284.980,285.650,0
2000-06-23,285.600,286.700,282.500,283.150,0
2000-06-26,283.150,284.700,282.050,284.000,0
2000-06-27,283.950,286.150,283.100,286.050,0
2000-06-28,286.150,293.100,285.450,292.650,0
2000-06-29,292.750,292.750,288.200,289.250,0
