Date,Open,High,Low,Close,volume
2010-06-07,429.700,431.200,415.700,428.900,0
2010-06-08,428.900,441.200,424.800,439.200,0
2010-06-09,439.200,456.900,436.300,448.200,0
2010-06-10,448.200,456.100,426.600,451.100,0
2010-06-11,451.100,458.500,444.300,446.700,0
2010-06-14,446.700,460.700,446.700,456.200,0
2010-06-15,456.200,474.200,449.100,471.100,0
2010-06-16,471.100,474.100,459.000,472.300,0
2010-06-17,472.300,482.300,466.000,479.800,0
2010-06-18,479.800,491.600,474.100,489.000,0
2010-06-21,489.000,504.000,488.700,491.100,0
2010-06-22,491.100,494.800,476.900,483.300,0
2010-06-23,483.300,487.200,469.900,471.300,0
2010-06-24,471.300,476.900,461.800,471.200,0
2010-06-25,471.200,477.500,459.600,476.600,0
2010-06-28,476.600,481.800,463.500,466.200,0
2010-06-29,466.200,469.100,447.100,449.600,0
2010-06-30,449.600,460.200,436.900,441.600,0
2010-07-01,441.600,443.100,422.300,430.300,0
2010-07-02,430.300,438.400,418.600,430.500,0
2010-07-05,430.500,431.500,422.300,426.100,0
2010-07-06,426.100,442.200,422.300,435.500,0
2010-07-07,435.500,447.300,426.600,447.100,0
2010-07-08,447.100,449.300,433.900,445.700,0
2010-07-09,445.700,457.700,430.500,457.700,0
2010-07-12,457.700,458.400,449.300,452.800,0
2010-07-13,452.800,467.500,450.800,462.400,0
2010-07-14,462.400,469.400,460.400,464.700,0
2010-07-15,464.700,470.400,457.100,466.300,0
2010-07-16,466.300,467.300,443.600,448.300,0
2010-07-19,448.300,454.500,437.800,443.100,0
2010-07-20,443.100,451.600,433.200,451.100,0
2010-07-21,451.100,453.500,435.000,446.600,0
2010-07-22,446.600,457.100,438.600,453.700,0
2010-07-23,453.700,467.000,452.900,463.000,0
2010-07-26,463.000,477.000,461.200,471.100,0
2010-07-27,471.100,477.500,463.500,466.900,0
2010-07-28,466.900,470.100,450.300,467.300,0
2010-07-29,467.300,489.100,465.000,483.200,0
2010-07-30,483.200,497.800,476.200,495.400,0
2010-08-02,495.400,515.000,492.900,510.000,0
2010-08-03,510.000,513.900,497.700,500.400,0
2010-08-04,500.400,506.200,484.100,496.500,0
2010-08-05,496.500,499.200,487.300,495.200,0
2010-08-06,495.200,507.000,483.600,488.900,0
2010-08-09,488.900,490.700,474.800,475.000,0
2010-08-10,475.000,480.500,468.300,474.200,0
2010-08-11,474.200,480.000,460.500,464.000,0
2010-08-12,464.000,473.600,448.700,468.200,0
2010-08-13,468.200,477.400,467.100,476.400,0
2010-08-16,476.400,484.200,467.100,481.000,0
2010-08-17,481.000,496.400,474.700,494.900,0
2010-08-18,494.900,496.700,481.000,488.300,0
2010-08-19,488.300,494.900,478.100,482.500,0
2010-08-20,482.500,484.500,472.300,475.100,0
2010-08-23,475.100,484.500,466.200,483.200,0
2010-08-24,483.200,485.900,472.100,483.600,0
2010-08-25,483.600,493.400,482.100,493.100,0
2010-08-26,493.100,506.300,477.100,498.200,0
2010-08-27,498.200,503.700,494.900,503.500,0
2010-08-30,503.500,506.900,492.500,495.300,0
2010-08-31,495.300,502.700,485.900,500.600,0
2010-09-01,500.600,526.300,496.900,517.100,0
2010-09-02,517.100,524.200,509.600,523.700,0
