Date,Open,High,Low,Close,volume
2010-06-07,1515.500,1515.500,1485.500,1506.500,0
2010-06-08,1506.500,1525.000,1498.500,1521.000,0
2010-06-09,1521.000,1535.500,1513.000,1521.000,0
2010-06-10,1521.000,1547.000,1497.500,1534.000,0
2010-06-11,1534.000,1548.500,1528.000,1535.500,0
2010-06-14,1535.500,1563.000,1535.500,1556.500,0
2010-06-15,1556.500,1576.500,1547.000,1572.000,0
2010-06-16,1572.000,1581.000,1554.500,1567.500,0
2010-06-17,1567.500,1576.500,1560.500,1574.000,0
2010-06-18,1574.000,1590.500,1559.500,1588.000,0
2010-06-21,1588.000,1606.500,1584.000,1587.000,0
2010-06-22,1587.000,1594.000,1572.500,1581.500,0
2010-06-23,1581.500,1582.500,1550.500,1566.500,0
2010-06-24,1566.500,1570.000,1539.500,1562.000,0
2010-06-25,1562.000,1577.000,1543.500,1568.000,0
2010-06-28,1568.000,1590.000,1558.000,1561.500,0
2010-06-29,1561.500,1567.500,1533.000,1537.500,0
2010-06-30,1537.500,1541.500,1519.500,1528.000,0
2010-07-01,1528.000,1529.000,1482.500,1500.000,0
2010-07-02,1500.000,1515.000,1486.500,1497.000,0
2010-07-05,1497.000,1512.500,1486.000,1506.500,0
2010-07-06,1506.500,1522.500,1483.500,1513.500,0
2010-07-07,1513.500,1524.000,1492.500,1524.000,0
2010-07-08,1524.000,1533.000,1503.000,1516.500,0
2010-07-09,1516.500,1532.500,1505.500,1528.500,0
2010-07-12,1528.500,1533.500,1508.000,1511.500,0
2010-07-13,1511.500,1534.500,1504.000,1526.500,0
2010-07-14,1526.500,1535.000,1516.500,1524.500,0
2010-07-15,1524.500,1535.000,1514.000,1529.000,0
2010-07-16,1529.000,1533.500,1502.000,1510.500,0
2010-07-19,1510.500,1513.500,1491.500,1506.000,0
2010-07-20,1506.000,1518.000,1488.500,1514.000,0
2010-07-21,1514.000,1524.000,1499.500,1511.500,0
2010-07-22,1511.500,1526.000,1501.500,1521.000,0
2010-07-23,1521.000,1544.000,1501.000,1538.000,0
2010-07-26,1538.000,1553.000,1535.500,1544.500,0
2010-07-27,1544.500,1560.000,1527.500,1529.500,0
2010-07-28,1529.500,1543.000,1514.500,1535.500,0
2010-07-29,1535.500,1562.500,1529.000,1558.000,0
2010-07-30,1558.000,1576.500,1549.000,1572.500,0
2010-08-02,1572.500,1597.500,1571.000,1597.000,0
2010-08-03,1597.000,1601.000,1501.500,1578.500,0
2010-08-04,1578.500,1593.500,1564.000,1580.000,0
2010-08-05,1580.000,1585.500,1563.000,1571.000,0
2010-08-06,1571.000,1579.500,1560.500,1573.000,0
2010-08-09,1573.000,1573.000,1538.000,1545.000,0
2010-08-10,1545.000,1549.500,1522.000,1539.000,0
2010-08-11,1539.000,1548.500,1508.000,1515.000,0
2010-08-12,1515.000,1530.000,1502.500,1527.500,0
2010-08-13,1527.500,1537.000,1514.000,1522.000,0
2010-08-16,1522.000,1534.500,1515.500,1531.000,0
2010-08-17,1531.000,1544.500,1520.000,1540.000,0
2010-08-18,1540.000,1544.500,1518.000,1531.000,0
2010-08-19,1531.000,1541.000,1516.000,1524.500,0
2010-08-20,1524.500,1528.500,1504.500,1509.500,0
2010-08-23,1509.500,1515.000,1501.000,1507.000,0
2010-08-24,1507.000,1516.000,1487.500,1513.500,0
2010-08-25,1513.500,1527.500,1506.500,1526.000,0
2010-08-26,1526.000,1537.000,1508.500,1530.500,0
2010-08-27,1530.500,1533.500,1508.500,1530.000,0
2010-08-30,1530.000,1536.000,1522.000,1523.500,0
2010-08-31,1523.500,1525.500,1505.000,1522.000,0
2010-09-01,1522.000,1537.000,1508.500,1531.000,0
2010-09-02,1531.000,1555.000,1509.500,1547.000,0
2010-09-03,1547.000,1563.000,1539.000,1553.500,0
2010-09-06,1553.500,1564.500,1548.000,1559.000,0
2010-09-07,1559.000,1565.500,1542.500,1553.000,0
2010-09-08,1553.000,1562.000,1542.000,1552.000,0
2010-09-09,1552.000,1560.500,1543.500,1547.500,0
2010-09-10,1547.500,1553.000,1533.000,1536.500,0
2010-09-13,1536.500,1551.000,1514.500,1550.500,0
2010-09-14,1550.500,1596.000,1543.000,1592.500,0
2010-09-15,1592.500,1609.500,1564.500,1605.500,0
2010-09-16,1605.500,1615.500,1592.500,1608.500,0
2010-09-17,1608.500,1628.000,1601.500,1613.000,0
2010-09-20,1613.000,1630.500,1612.000,1624.500,0
2010-09-21,1624.500,1629.500,1606.500,1620.500,0
2010-09-22,1620.500,1637.500,1609.500,1631.000,0
2010-09-23,1631.000,1643.000,1622.000,1638.500,0
2010-09-24,1638.500,1647.000,1631.000,1645.500,0
2010-09-27,1645.500,1646.000,1627.500,1629.000,0
2010-09-28,1629.000,1636.000,1601.000,1634.000,0
2010-09-29,1634.000,1650.000,1624.500,1644.000,0
2010-09-30,1644.000,1662.000,1626.500,1653.500,0
2010-10-01,1653.500,1683.000,1635.500,1680.000,0
2010-10-04,1680.000,1681.000,1663.500,1667.000,0
2010-10-05,1667.000,1698.000,1661.000,1694.500,0
2010-10-06,1694.500,1713.000,1686.000,1711.500,0
2010-10-07,1711.500,1724.000,1690.500,1696.500,0
2010-10-08,1696.500,1707.500,1669.500,1701.000,0
2010-10-11,1701.000,1708.000,1681.000,1684.500,0
2010-10-12,1684.500,1697.500,1671.000,1682.000,0
2010-10-13,1682.000,1711.500,1672.000,1707.000,0
2010-10-14,1707.000,1720.000,1691.000,1712.000,0
2010-10-15,1712.000,1712.500,1617.000,1694.000,0
2010-10-18,1694.000,1699.500,1668.500,1691.500,0
2010-10-19,1691.500,1700.500,1660.000,1662.000,0
2010-10-20,1662.000,1685.500,1633.000,1684.000,0
2010-10-21,1684.000,1689.500,1660.000,1671.000,0
2010-10-22,1671.000,1674.500,1656.500,1672.000,0
2010-10-25,1672.000,1700.500,1672.000,1695.500,0
2010-10-26,1695.500,1706.000,1673.000,1702.000,0
2010-10-27,1702.000,1713.000,1674.500,1678.000,0
2010-10-28,1678.000,1691.500,1665.500,1690.500,0
2010-10-29,1690.500,1704.500,1671.500,1702.000,0
2010-11-01,1702.000,1724.500,1702.000,1709.000,0
2010-11-02,1709.000,1721.000,1705.000,1717.000,0
2010-11-03,1717.000,1720.000,1685.000,1704.500,0
2010-11-04,1704.500,1794.500,1699.000,1783.500,0
2010-11-05,1783.500,1783.500,1738.500,1766.500,0
2010-11-08,1766.500,1773.500,1747.500,1769.500,0
2010-11-09,1769.500,1807.500,1744.500,1760.000,0
2010-11-10,1760.000,1784.000,1727.500,1735.500,0
2010-11-11,1735.500,1771.000,1723.500,1753.000,0
2010-11-12,1753.000,1754.500,1669.000,1676.500,0
2010-11-15,1676.500,1693.500,1660.500,1670.500,0
2010-11-16,1670.500,1676.500,1634.500,1640.000,0
2010-11-17,1640.000,1644.500,1624.500,1634.500,0
2010-11-18,1634.500,1668.000,1626.000,1660.500,0
2010-11-19,1660.500,1670.000,1643.500,1665.500,0
2010-11-22,1665.500,1675.500,1621.500,1660.500,0
2010-11-23,1660.500,1663.500,1632.500,1648.500,0
2010-11-24,1648.500,1667.000,1640.500,1658.500,0
2010-11-25,1658.500,1662.500,1631.500,1657.500,0
2010-11-26,1657.500,1659.000,1634.000,1639.000,0
2010-11-29,1639.000,1652.500,1629.500,1646.000,0
2010-11-30,1646.000,1665.500,1633.500,1659.500,0
2010-12-01,1659.500,1691.500,1644.500,1685.500,0
2010-12-02,1685.500,1727.500,1665.500,1711.500,0
2010-12-03,1711.500,1731.000,1681.000,1729.000,0
2010-12-06,1729.000,1736.000,1709.500,1720.000,0
2010-12-07,1720.000,1732.000,1687.500,1687.500,0
2010-12-08,1687.500,1693.500,1668.500,1683.000,0
2010-12-09,1683.000,1693.500,1672.000,1678.500,0
2010-12-10,1678.500,1685.000,1661.000,1677.000,0
2010-12-13,1677.000,1705.500,1664.000,1697.500,0
2010-12-14,1697.500,1715.000,1686.000,1704.500,0
2010-12-15,1704.500,1708.000,1690.000,1695.000,0
2010-12-16,1695.000,1704.500,1678.500,1693.000,0
2010-12-17,1693.000,1705.500,1686.000,1701.500,0
2010-12-20,1701.500,1710.000,1695.000,1710.000,0
2010-12-21,1710.000,1723.500,1703.000,1722.500,0
2010-12-22,1722.500,1734.000,1705.500,1723.500,0
2010-12-23,1723.500,1731.000,1710.000,1717.500,0
2010-12-24,1717.500,1730.000,1709.500,1711.000,0
2010-12-27,1711.000,1733.000,1711.000,1729.000,0
2010-12-28,1729.000,1753.000,1710.500,1750.500,0
2010-12-29,1750.500,1755.500,1737.500,1752.500,0
2010-12-30,1752.500,1764.000,1731.500,1742.000,0
2010-12-31,1742.000,1758.500,1693.000,1755.000,0
2011-01-03,1755.000,1781.000,1677.500,1761.000,0
2011-01-04,1761.000,1771.500,1726.000,1757.500,0
2011-01-05,1757.500,1758.500,1634.000,1728.000,0
2011-01-06,1728.000,1741.000,1715.500,1730.000,0
2011-01-07,1730.000,1745.000,1714.500,1730.000,0
2011-01-10,1730.000,1749.500,1722.000,1740.500,0
2011-01-11,1740.500,1769.500,1711.000,1767.000,0
2011-01-12,1767.000,1804.500,1711.500,1798.000,0
2011-01-13,1798.000,1829.500,1784.500,1801.000,0
2011-01-14,1801.000,1823.000,1786.000,1809.000,0
2011-01-18,1809.000,1829.000,1795.500,1817.500,0
2011-01-19,1817.500,1847.500,1817.500,1834.000,0
2011-01-20,1834.000,1839.000,1798.000,1809.500,0
2011-01-21,1809.500,1829.000,1801.500,1827.000,0
2011-01-24,1827.000,1833.500,1808.500,1813.500,0
2011-01-25,1813.500,1816.500,1778.000,1786.000,0
2011-01-26,1786.000,1814.500,1778.000,1813.000,0
2011-01-27,1813.000,1817.500,1779.000,1783.000,0
2011-01-28,1783.000,1806.500,1758.500,1792.500,0
2011-01-31,1792.500,1805.500,1774.000,1793.500,0
2011-02-01,1793.500,1830.500,1790.500,1826.000,0
2011-02-02,1826.000,1835.500,1821.500,1831.500,0
2011-02-03,1831.500,1841.000,1817.000,1836.500,0
2011-02-04,1836.500,1860.000,1804.000,1842.500,0
2011-02-07,1842.500,1849.000,1832.500,1839.000,0
2011-02-08,1839.000,1861.000,1835.500,1856.000,0
2011-02-09,1856.000,1866.000,1847.000,1856.500,0
2011-02-10,1856.500,1860.500,1822.500,1826.000,0
2011-02-11,1826.000,1837.000,1801.000,1803.500,0
2011-02-14,1803.500,1835.500,1803.000,1829.500,0
2011-02-15,1829.500,1846.000,1826.000,1831.000,0
2011-02-16,1831.000,1838.500,1824.500,1829.500,0
2011-02-17,1829.500,1844.000,1820.500,1844.000,0
2011-02-18,1844.000,1845.500,1828.000,1833.500,0
2011-02-21,1833.500,1855.500,1831.500,1853.500,0
2011-02-22,1853.500,1855.500,1784.500,1791.500,0
2011-02-23,1791.500,1808.500,1768.500,1782.000,0
2011-02-24,1782.000,1802.000,1766.500,1779.000,0
2011-02-25,1779.000,1805.000,1779.000,1803.000,0
2011-02-28,1803.000,1825.500,1796.500,1806.500,0
2011-03-01,1806.500,1844.500,1792.500,1841.000,0
2011-03-02,1841.000,1862.500,1827.000,1847.500,0
2011-03-03,1847.500,1850.500,1820.000,1826.500,0
2011-03-04,1826.500,1844.000,1810.500,1841.500,0
2011-03-07,1841.500,1845.000,1799.000,1819.000,0
2011-03-08,1819.000,1819.500,1791.000,1804.500,0
2011-03-09,1804.500,1818.000,1792.000,1801.000,0
2011-03-10,1801.000,1807.000,1755.000,1762.500,0
2011-03-11,1762.500,1782.500,1757.000,1776.500,0
2011-03-14,1776.500,1784.000,1737.000,1753.000,0
2011-03-15,1753.000,1755.500,1688.500,1698.500,0
2011-03-16,1698.500,1726.000,1678.500,1685.500,0
2011-03-17,1685.500,1706.500,1658.000,1698.000,0
2011-03-18,1698.000,1721.500,1695.500,1720.500,0
2011-03-21,1720.500,1752.500,1720.500,1744.000,0
2011-03-22,1744.000,1751.000,1729.500,1739.000,0
2011-03-23,1739.000,1761.500,1728.000,1756.500,0
2011-03-24,1756.500,1766.500,1749.000,1753.500,0
2011-03-25,1753.500,1755.500,1741.500,1746.500,0
2011-03-28,1746.500,1751.500,1725.000,1744.000,0
2011-03-29,1744.000,1750.000,1732.500,1740.500,0
2011-03-30,1740.500,1774.500,1736.500,1765.500,0
2011-03-31,1765.500,1784.000,1758.000,1767.000,0
2011-04-01,1767.000,1781.500,1751.000,1765.500,0
2011-04-04,1765.500,1788.500,1759.500,1785.500,0
2011-04-05,1785.500,1796.500,1773.500,1794.000,0
2011-04-06,1794.000,1812.500,1748.500,1794.000,0
2011-04-07,1794.000,1804.500,1725.000,1783.500,0
2011-04-08,1783.500,1817.000,1774.000,1809.000,0
2011-04-11,1809.000,1818.000,1780.000,1783.500,0
2011-04-12,1783.500,1793.000,1765.000,1768.000,0
2011-04-13,1768.000,1789.500,1758.000,1775.000,0
2011-04-14,1775.000,1794.000,1765.500,1792.500,0
2011-04-15,1792.500,1796.500,1773.000,1786.500,0
2011-04-18,1786.500,1796.500,1725.000,1780.500,0
2011-04-19,1780.500,1787.500,1760.000,1771.500,0
2011-04-20,1771.500,1809.000,1769.000,1801.000,0
2011-04-21,1801.000,1818.500,1725.000,1815.500,0
2011-04-22,1815.500,1822.500,1811.000,1812.500,0
2011-04-25,1812.500,1839.500,1724.000,1822.500,0
2011-04-26,1822.500,1824.000,1744.500,1805.000,0
2011-04-27,1805.000,1828.000,1775.000,1825.000,0
2011-04-28,1825.000,1848.500,1774.500,1840.000,0
2011-04-29,1840.000,1849.500,1821.500,1849.000,0
2011-05-02,1849.000,1849.000,1837.500,1838.000,0
2011-05-03,1838.000,1868.500,1838.000,1854.000,0
2011-05-04,1854.000,1856.500,1833.000,1836.000,0
2011-05-05,1836.000,1836.000,1754.500,1762.500,0
2011-05-06,1762.500,1799.500,1762.000,1780.000,0
2011-05-09,1780.000,1797.500,1777.500,1791.500,0
2011-05-10,1791.500,1804.000,1787.000,1794.000,0
2011-05-11,1794.000,1807.500,1772.500,1774.500,0
2011-05-12,1774.500,1779.500,1748.000,1769.500,0
2011-05-13,1769.500,1782.500,1756.500,1761.500,0
2011-05-16,1761.500,1768.800,1749.000,1754.800,0
2011-05-17,1754.800,1777.500,1749.000,1765.500,0
2011-05-18,1765.500,1777.000,1748.800,1766.000,0
2011-05-19,1766.000,1788.000,1761.000,1763.000,0
2011-05-20,1763.000,1775.000,1753.500,1770.500,0
2011-05-23,1770.500,1777.500,1755.500,1757.000,0
2011-05-25,1761.000,1777.000,1761.000,1777.000,0
2011-05-26,1777.000,1784.500,1771.000,1774.000,0
2011-05-27,1774.000,1796.000,1768.000,1790.400,0
2011-05-30,1790.400,1801.000,1789.500,1801.000,0
2011-05-31,1801.000,1833.500,1796.500,1831.000,0
2011-06-01,1831.000,1836.000,1817.500,1830.500,0
